sentence	label
I never knew winter could be so beautiful.	0
YEAH...	0
It really is beautiful, isn't it?	0
But it's so white.	0
You know, how about a little color?	0
Must we bleach the joy out of it all?	0
I'm thinking like maybe some crimson, chartreuse...	0
How `bout yellow--no, not yellow.	0
Yellow and snow?	0
Brrrr...no go.	0
Am I right?	0
Hi!	0
You're creepy.	0
I don't want it!	0
Backatchya!	0
Please don't drop me.	0
Don't!	0
Come on, it's just a head.	0
No!	0
All right, we got off to a bad start.	0
Ew, ew, the body!	0
Wait, what am I looking at right now?	0
Why are you hanging off the earth like a bat?	0
...Okay.	0
Wait one second.	0
Oooh!	0
Thank you!	0
You're welcome.	0
Now I'm perfect.	0
Well, almost.	0
Woo!	0
Head rush!	0
Oh!	0
Too hard.	0
I'm sorry! 	0
I-I, I was just.... Are you okay?	0
Are you kidding me?	0
I am wonderful!	0
I've always wanted a nose.	0
So cute.	0
It's like a little baby unicorn.	0
What?	0
Hey!	0
Whoa.	0
Oh, I love it even more!	0
Hah....	0
All right, let's start this thing over. 	0
Hi everyone.	0
I'm [PERSON] . 	0
And I like warm hugs.	0
Olaf?...That's right, [PERSON] .	0
...And you are?	0
Oh, um...I'm [PERSON] .	0
And who's the funky-looking donkey over there?	0
That's [PERSON] .	0
Uh-huh.	0
And who's the reindeer?	0
...[PERSON] .	0
Oh.	0
They're--oh, okay....	0
Makes things easier for me.	0
Ha. Aw, look at him tryin' to kiss my nose.	0
I like you, too!	0
[PERSON] , did [PERSON] build you?	0
Yeah. Why?	0
Do you know where she is?	0
Fascinating...	0
Yeah. Why?	0
Do you think you could show us the way?	0
Yeah. Why?	0
How does this work?	0
Stop it, [PERSON] .	0
Trying to focus here.	0
Yeah, why?	0
I'll tell you why.	0
We need Elsa to bring back summer.	0
Summer?	0
Oh, I don't know why but I've always loved the idea of summer, and sun, and all things hot.	0
Really?	0
I'm guessing you don't have much experience with heat.	0
Nope.	0
But sometimes I like to close my eyes and imagine what it'd be like when summer does come.	0